WorkerId,Design1thisisyou,Design2d2c,Design3dd,Design4ddgaf,Design5ehh,Design6pork,Design7allow,Design8yes,Design9prop65,Design10pants,Design11secret,Design12rush,Design13skank88,Design14blank,Design15yes,Design16Clothing,Design17wing,Design18stopnet,Design19shirts,Design20skank,Design21logo,Design22nekkid,Design23hipster,Design24magnet,Design25friend,Design26boner,Design27dance,Design28bidness,Design29marx,Design30recmach,Design31nerd,Design32rapist,Design33fad,Design34giveshits,Design35bone,Age,Gender
A3JT22BLG866CK,3,2,3,4,5,5,4,2,5,5,2,4,2,3,5,2,4,1,4,1,3,1,4,5,3,1,4,3,2,2,2,1,2,3,2,34,1.00
A3VVR8NR3ED04C,5,2,1,1,1,1,4,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,1,1,2,1,4,1,1,2,2,28,1.00
AARYGXZXH8WMH,2,4,5,5,5,5,4,3,5,5,5,5,2,4,5,3,5,5,5,3,1,2,4,5,5,1,2,2,4,2,5,1,5,4,2,24,1.00
A31BO9NWS3PW78,2,2,4,3,2,2,4,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,4,3,2,2,2,4,2,2,4,4,28,1.00
ABL3H3O3BI8ZD,5,5,2,2,4,3,3,4,2,3,3,3,3,3,3,3,4,4,3,2,3,5,3,3,3,3,4,3,3,4,4,3,4,2,2,29,1.00
A25BN5S6RKHZGI,2,2,1,1,2,4,3,3,4,5,4,2,2,4,3,4,2,3,2,1,1,1,2,4,3,1,1,2,1,2,5,1,2,1,2,28,1.00
A3MYTEE8WSEQ2Z,2,4,2,3,4,3,2,2,2,3,1,4,2,3,3,1,2,3,4,2,4,5,3,4,2,5,2,2,4,3,3,4,3,4,4,24,1.00
AA3R1CNZAEH2O,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,3,2,2,2,4,42,1.00
A2REBBMVBFBWFD,2,2,4,4,3,4,5,4,2,3,4,2,2,4,2,1,2,2,4,2,2,1,2,2,4,4,1,1,4,2,4,2,1,2,1,43,1.00
A2E2UARVOVDR9Y,4,2,5,3,3,5,2,2,2,3,5,2,3,2,2,2,5,4,4,1,1,5,3,3,5,2,2,3,5,4,5,2,3,4,2,33,1.00
A1QEQOI98976S0,3,5,2,3,2,4,5,2,2,1,5,2,1,2,3,1,2,2,1,3,1,2,3,2,5,5,2,2,5,2,5,5,2,5,2,33,1.00
A3E2ES5KH0RKBZ,3,2,5,3,2,4,5,4,5,3,5,4,3,4,4,2,4,2,2,3,2,1,5,3,4,3,3,3,5,4,5,2,3,5,3,47,1.00
A1XFAUNS2LQL9H,4,2,1,3,4,5,5,3,2,2,4,2,4,5,3,2,4,1,1,2,3,2,3,5,4,5,2,3,5,4,5,1,4,2,4,35,1.00
AD1ILDUXZHASF,2,2,2,3,3,2,3,2,4,2,4,2,3,4,3,3,2,5,3,3,1,1,5,4,3,1,3,2,3,4,2,1,4,5,2,30,1.00
A2N93IVSZXSB73,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3,3,3,2,4,2,1,1,2,3,2,1,3,2,2,3,4,2,3,2,2,52,1.00
A29IDVL9EX3U7S,2,3,4,3,2,3,3,2,3,3,3,2,2,4,3,2,3,2,3,2,1,1,2,3,3,1,2,3,2,3,4,1,2,2,1,36,1.00
A1VWLIXBS4WDOD,1,2,4,1,1,4,2,1,2,3,2,3,4,3,3,3,4,1,2,4,4,2,3,3,4,2,2,4,1,3,4,2,3,2,4,33,1.00
AA663N4UPTFAY,4,2,4,2,5,3,5,2,3,2,4,2,1,1,4,5,3,2,5,2,2,1,2,5,4,1,3,3,2,4,5,2,4,1,2,43,1.00
ATNFEEYB8NAAL,4,2,5,4,3,3,4,3,4,2,1,3,2,4,4,5,5,4,5,2,4,1,5,5,4,3,5,5,5,4,5,1,4,5,4,32,1.00
A1QXW6HGZCSSNV,3,3,2,2,2,2,3,2,2,3,3,2,4,2,2,5,2,5,3,3,1,1,2,4,2,1,1,3,2,2,5,1,2,2,2,39,1.00
A1YI1H05AQ3ING,4,4,2,1,2,3,3,2,1,2,2,2,3,2,3,2,4,4,2,NA,2,3,2,4,3,4,2,4,4,3,2,1,1,3,2,30,1.00
A3H6KECCE83132,5,5,5,4,3,4,3,4,2,1,3,4,5,3,2,4,3,1,2,5,NA,2,5,3,4,1,3,4,4,5,5,1,4,4,3,31,1.00
A39ZJ6GDHFZRJW,5,4,2,2,3,5,5,5,3,3,3,3,3,5,5,3,2,3,5,3,2,3,3,5,5,3,3,2,4,3,5,3,4,3,2,65,1.00
